"","RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance"
"2719","Good",88,354,17,117,21,0,0,100,83,"7","8",21,0,62,24,0,0,15,-8,2,3,0,71
"2720","Good",77,176,23,87,13,0,0,100,83,"7","8",13,0,31,0,1,1,51,-8,3,1,2,57
"2721","Good",85,-8,8,104,24,0,0,96,-8,"6","6",0,2,8,13,0,0,1,71,6,2,0,42
"2722","Good",82,180,7,86,22,0,0,100,83,"7","8",22,1,50,5,0,0,5,42,3,4,0,78
"2723","Good",80,318,2,84,38,0,0,100,83,"7","8",59,2,41,0,2,2,3,41,4,4,0,53
"2724","Good",73,93,5,43,20,0,0,95,24,"6","6",20,2,30,0,0,0,47,100,6,2,1,60
"2725","Bad",68,-8,3,80,32,0,0,97,21,"6","6",0,4,16,1,2,2,32,-8,11,1,2,87
"2726","Good",78,146,14,78,10,1,0,82,37,"6","5",11,0,27,0,0,0,30,-8,5,1,0,67
"2727","Good",73,183,11,87,21,1,1,91,2,"0","2",23,1,43,0,0,0,15,40,4,4,0,69
"2728","Good",72,192,11,75,13,1,0,88,6,"3","5",18,1,56,3,2,2,0,-8,0,2,0,40
"2729","Bad",73,-8,2,57,15,0,0,94,4,"4","6",0,3,50,24,1,1,5,75,3,5,0,73
"2730","Good",69,158,2,58,24,0,0,96,35,"6","6",25,2,16,1,6,6,26,-8,4,-8,2,43
"2731","Good",85,419,9,204,11,0,0,100,83,"7","8",11,1,27,0,0,0,6,-8,3,1,1,67
"2732","Good",68,188,19,60,19,0,0,100,83,"7","8",17,0,32,10,1,0,92,73,5,2,4,100
"2733","Good",77,154,2,71,27,0,0,100,83,"7","8",28,2,29,0,0,0,39,66,5,3,0,62
"2734","Bad",58,22,2,8,4,0,0,100,83,"7","8",6,5,50,24,2,2,101,76,1,3,1,100
"2735","Bad",63,282,2,106,19,5,4,80,23,"6","4",26,1,44,0,0,0,12,-8,1,1,0,67
"2736","Bad",78,199,7,73,39,0,0,95,22,"6","6",40,1,21,24,1,0,15,19,2,5,1,50
"2737","Good",60,303,2,116,44,0,0,87,5,"6","6",45,1,27,-8,0,0,35,70,6,5,1,50
"2738","Good",66,92,3,63,30,1,0,94,4,"3","5",10,4,32,2,4,4,4,73,4,2,0,43
"2739","Bad",73,190,8,113,27,0,0,100,83,"7","8",30,1,23,7,0,0,40,78,9,3,1,68
"2740","Good",68,172,3,74,23,1,0,92,5,"3","5",28,4,28,2,2,2,6,98,1,2,0,25
"2741","Bad",73,124,1,31,9,0,0,91,78,"6","6",11,5,45,0,2,2,10,94,2,2,-8,67
"2742","Good",86,280,17,99,20,0,0,100,83,"7","8",21,0,81,8,0,0,21,58,1,3,0,67
"2743","Bad",62,172,4,71,29,0,0,86,2,"4","6",29,2,28,24,1,1,32,50,2,4,2,50
"2744","Bad",67,152,3,58,24,1,1,100,83,"6","8",24,1,29,0,1,1,30,-8,3,-8,3,43
"2745","Good",86,329,3,135,15,0,0,100,83,"7","8",15,1,20,10,0,0,0,77,2,2,0,67
"2746","Bad",62,165,7,71,28,1,1,86,20,"6","6",29,3,41,24,6,6,39,50,4,2,0,60
"2747","Bad",66,367,30,84,31,0,0,97,2,"4","6",20,0,32,6,1,0,15,-8,3,2,0,31
"2748","Good",79,193,18,100,24,0,0,96,36,"6","6",34,0,40,19,0,0,16,-8,3,1,0,44
"2749","Bad",77,124,1,52,19,0,0,100,83,"7","8",22,4,45,0,4,4,30,95,1,4,1,71
"2750","Good",66,66,8,33,16,0,0,94,2,"4","6",16,1,44,3,1,1,22,42,2,2,0,57
"2751","Bad",66,198,3,46,10,0,0,90,19,"6","6",11,2,60,0,3,3,60,86,2,2,1,67
"2752","Bad",64,139,18,68,20,5,2,56,14,"6","3",25,0,28,0,0,0,0,68,0,2,0,18
"2753","Good",62,341,3,76,33,0,0,100,83,"7","8",33,2,45,1,4,4,67,94,6,4,5,85
"2754","Good",89,384,4,111,31,0,0,100,83,"7","8",33,2,30,3,3,3,12,-8,1,1,0,33
"2755","Bad",75,111,9,60,15,0,0,93,66,"6","6",15,1,53,0,0,0,61,43,5,3,-8,100
"2756","Bad",69,180,9,101,30,1,1,100,83,"6","7",9,2,29,16,0,0,25,-8,3,2,1,45
"2757","Bad",70,88,7,42,14,1,1,93,25,"6","2",16,2,67,24,2,2,38,63,2,5,-8,88
"2758","Good",88,294,5,84,15,0,0,100,83,"7","8",15,2,53,4,1,1,2,82,2,2,0,50
"2759","Good",86,182,21,89,18,0,0,100,83,"7","8",20,0,30,1,1,1,0,-8,3,1,0,44
"2760","Bad",64,139,3,40,23,0,0,100,83,"7","8",23,4,43,0,0,0,73,73,5,5,1,91
"2761","Bad",87,277,6,81,18,0,0,100,83,"7","8",18,2,56,0,0,0,16,88,2,2,0,67
"2762","Bad",70,70,7,39,6,0,0,100,83,"7","8",6,2,17,0,0,0,96,-8,3,-8,3,75
"2763","Bad",63,378,10,84,36,1,1,89,10,"4","4",37,2,54,0,2,2,60,67,4,6,3,77
"2764","Good",83,319,13,82,20,0,0,100,83,"7","8",46,0,20,13,0,0,34,-8,4,1,0,42
"2765","Good",76,157,3,83,20,1,1,95,40,"6","2",7,2,38,1,2,2,22,73,6,2,0,100
"2766","Good",84,247,5,84,22,0,0,100,83,"6","7",22,2,50,24,2,2,25,90,4,2,0,86
"2767","Bad",59,134,4,68,19,2,0,78,30,"6","5",23,2,43,24,0,0,88,85,5,2,1,88
"2768","Good",80,130,4,57,24,0,0,100,83,"7","8",24,3,38,4,1,1,41,43,3,3,0,46
"2769","Good",74,198,4,53,11,1,1,92,62,"6","2",12,1,33,4,2,2,3,-8,2,1,0,43
"2770","Bad",78,239,3,83,20,0,0,90,10,"6","6",13,2,15,1,2,2,2,55,3,3,0,55
"2771","Bad",66,95,0,54,14,0,0,94,19,"6","6",16,3,19,0,3,3,53,-8,8,1,2,69
"2772","Good",64,276,2,74,24,1,1,96,3,"1","3",26,4,23,0,2,2,59,73,6,2,1,69
"2773","Bad",82,247,3,57,46,0,0,98,18,"6","6",46,3,28,0,0,0,3,45,3,2,0,45
"2774","Bad",57,-8,6,91,10,1,0,47,2,"4","5",16,1,31,24,0,0,91,29,4,1,2,86
"2775","Good",83,157,4,94,19,0,0,100,83,"7","8",19,1,32,22,0,0,20,-8,2,1,1,50
"2776","Good",66,287,13,100,16,1,0,65,21,"6","5",20,0,45,2,1,1,93,62,2,3,1,100
"2777","Bad",56,239,3,98,12,0,0,75,1,"4","6",12,1,25,0,3,3,69,82,7,3,2,100
"2778","Bad",82,127,4,57,50,0,0,100,83,"5","7",28,3,20,9,0,0,19,98,6,4,0,59
"2779","Bad",77,187,2,63,35,0,0,100,83,"7","8",36,1,19,24,0,0,13,-8,6,1,1,35
"2780","Good",83,244,3,69,33,0,0,100,83,"7","8",34,3,15,4,1,1,1,85,6,2,0,38
"2781","Bad",59,255,39,111,11,1,0,75,3,"4","5",12,0,50,6,0,0,91,83,5,1,2,100
"2782","Bad",63,192,2,145,12,2,1,88,5,"2","4",25,1,44,24,0,0,56,88,5,3,1,89
"2783","Good",66,139,2,59,20,1,1,100,83,"6","8",21,4,24,1,1,1,60,-8,6,1,3,88
"2784","Good",78,367,2,113,39,0,0,100,83,"7","8",41,2,20,1,1,1,11,85,16,2,1,69
"2785","Good",79,190,16,151,15,0,0,100,83,"7","8",17,0,35,24,1,1,35,15,4,2,1,75
"2786","Bad",68,277,3,77,37,1,0,92,5,"6","5",38,4,16,0,4,4,24,72,5,2,0,47
"2787","Bad",80,96,18,57,10,0,0,100,83,"7","8",10,0,60,0,0,0,-8,-8,-8,1,-8,100
"2788","Bad",64,91,4,55,19,1,1,90,0,"0","2",20,2,50,0,2,2,24,81,6,3,1,82
"2789","Bad",70,118,6,52,24,0,0,88,-8,"6","6",26,5,38,1,2,2,54,-8,2,1,1,60
"2790","Good",75,356,2,101,32,0,0,97,61,"6","6",34,1,18,0,3,3,34,-8,11,1,2,60
"2791","Bad",64,149,20,69,23,2,2,83,9,"4","3",25,0,25,1,1,1,51,-8,5,1,1,100
"2792","Good",71,63,6,161,27,0,0,89,18,"6","6",5,1,14,24,1,1,63,-8,3,1,3,45
"2793","Bad",70,183,2,79,44,0,0,100,83,"7","8",36,6,29,24,5,4,84,78,14,4,10,79
"2794","Bad",68,121,0,72,19,1,1,100,83,"7","8",20,1,30,24,0,0,43,47,2,2,1,44
"2795","Bad",56,206,13,61,21,2,2,90,3,"4","6",21,0,29,24,1,0,64,50,7,2,4,69
"2796","Good",87,180,1,55,12,0,0,100,83,"7","8",13,2,46,16,0,0,8,100,1,2,0,38
"2797","Good",65,195,3,94,29,0,0,97,2,"4","6",29,2,17,0,1,1,31,-8,6,1,2,47
"2798","Bad",67,342,3,64,19,0,0,89,2,"4","6",19,3,37,0,2,2,14,95,2,3,0,55
"2799","Good",77,213,7,102,35,0,0,91,18,"6","6",37,1,43,24,0,0,4,53,4,4,0,69
"2800","Good",86,237,17,88,13,0,0,100,83,"7","8",14,0,43,-8,0,0,6,-8,2,2,0,80
"2801","Good",88,385,10,159,17,0,0,100,83,"7","8",17,1,18,-8,0,0,9,-8,3,1,0,57
"2802","Good",86,360,9,125,20,0,0,100,83,"7","8",20,1,15,-8,0,0,11,22,4,2,0,55
"2803","Good",86,280,6,109,21,0,0,100,83,"7","8",21,1,33,24,0,0,19,82,3,3,0,60
"2804","Bad",80,31,8,20,3,0,0,100,83,"7","8",3,1,67,0,2,1,0,24,0,2,0,67
"2805","Good",80,194,21,97,18,0,0,100,83,"7","8",18,0,22,21,0,0,34,-8,7,1,1,73
"2806","Bad",70,167,2,61,19,0,0,70,11,"4","6",20,2,35,0,1,1,4,76,3,3,0,70
"2807","Bad",64,25,1,9,5,1,1,100,83,"7","8",7,4,17,0,1,1,8,-8,2,1,0,75
"2808","Bad",77,229,3,109,23,0,0,100,83,"7","8",23,2,35,0,0,0,38,93,4,3,1,58
"2809","Bad",79,322,3,95,25,1,0,96,70,"6","5",28,2,43,0,2,2,22,12,5,4,0,75
"2810","Bad",73,372,3,86,23,0,0,83,16,"6","6",23,2,35,0,5,5,9,75,2,6,0,53
"2811","Bad",67,160,11,67,23,0,0,100,83,"7","8",23,1,43,0,0,0,76,88,5,4,3,75
"2812","Good",80,135,24,98,18,0,0,94,18,"6","6",16,0,44,2,1,1,6,-8,4,1,0,71
"2813","Bad",55,211,48,103,9,5,5,69,3,"4","2",13,0,38,0,3,2,1,-8,1,-8,0,50
"2814","Bad",64,165,1,71,15,1,1,83,4,"4","3",20,2,33,24,3,3,57,-8,4,1,2,45
"2815","Bad",65,212,8,60,19,0,0,96,4,"4","6",25,4,60,0,0,0,77,71,5,6,2,92
"2816","Good",84,283,12,95,13,0,0,100,83,"7","8",15,0,43,1,3,3,8,53,1,2,0,43
"2817","Bad",69,190,8,61,23,0,0,96,1,"4","6",23,2,30,0,0,0,41,70,6,3,1,75
"2818","Bad",70,333,2,75,16,0,0,100,83,"5","8",20,8,30,0,0,0,78,92,6,2,4,67
"2819","Bad",69,119,7,69,41,0,0,98,72,"6","6",46,2,72,1,1,1,47,79,5,3,2,67
"2820","Bad",51,129,14,72,8,5,3,54,3,"1","3",13,0,38,24,1,1,95,80,3,2,2,100
"2821","Bad",58,285,2,75,30,2,2,91,14,"6","2",34,2,12,0,0,0,80,57,12,4,5,59
"2822","Good",78,254,3,118,39,0,0,95,34,"6","6",39,2,26,24,1,1,20,9,6,3,0,56
"2823","Good",84,169,11,87,14,0,0,100,83,"7","8",14,1,57,-8,0,0,17,69,1,4,0,83
"2824","Bad",81,333,27,132,12,0,0,100,83,"7","8",12,0,25,0,1,1,51,89,3,1,0,80
"2825","Bad",64,144,2,63,18,2,2,85,72,"5","3",21,3,50,0,6,6,60,80,2,5,1,78
"2826","Good",87,254,31,106,14,0,0,100,83,"7","8",14,0,43,0,2,2,5,-8,2,2,0,44
"2827","Good",68,248,6,72,35,1,1,97,8,"0","2",39,1,28,11,0,0,9,63,3,3,1,33
"2828","Good",75,285,6,111,10,0,0,100,83,"7","8",10,1,40,13,0,0,96,11,4,2,3,100
"2829","Good",65,165,2,37,14,1,1,100,83,"6","8",25,2,40,1,5,5,38,85,4,4,1,73
"2830","Bad",64,243,3,56,24,0,0,100,83,"7","8",24,2,25,4,1,1,55,78,9,3,5,80
"2831","Bad",83,160,12,83,24,1,0,96,24,"6","5",26,0,19,0,0,0,1,19,4,2,0,46
"2832","Good",63,-8,4,118,5,2,2,100,83,"7","8",0,1,40,24,1,1,65,-8,2,-8,1,100
"2833","Good",79,111,2,67,40,0,0,100,83,"7","8",5,1,12,24,1,1,1,85,9,2,0,44
"2834","Good",73,211,3,116,23,0,0,92,48,"6","6",24,1,13,0,6,6,41,-8,8,1,2,64
"2835","Good",81,419,11,240,13,0,0,100,83,"7","8",13,1,8,11,0,0,55,-8,3,-8,1,50
"2836","Bad",60,144,9,48,28,1,1,97,22,"6","2",30,2,33,24,0,0,79,59,5,4,4,64
"2837","Good",65,198,5,73,22,1,0,88,27,"6","5",24,1,17,0,2,2,31,-8,3,1,1,57
"2838","Good",86,192,25,128,17,0,0,100,83,"7","8",17,0,41,24,0,0,22,-8,3,1,0,80
"2839","Bad",77,146,11,64,11,1,1,92,-8,"6","3",14,1,17,3,1,1,7,-8,2,1,0,75
"2840","Good",84,413,2,106,35,0,0,100,83,"7","8",44,2,19,1,4,4,2,-8,9,-8,0,53
"2841","Good",78,284,3,81,30,0,0,100,83,"6","8",32,3,50,0,1,1,43,24,6,2,0,89
"2842","Bad",55,194,26,100,18,0,0,84,1,"4","6",11,0,42,23,0,0,84,48,5,3,3,100
"2843","Good",81,300,2,90,18,0,0,100,83,"7","8",19,4,21,2,1,1,17,-8,3,1,1,31
"2844","Bad",65,87,3,47,16,2,2,100,83,"6","8",20,3,20,2,1,1,42,-8,6,1,1,78
"2845","Bad",75,133,10,59,12,1,0,77,46,"6","5",14,2,54,24,0,0,60,15,3,3,0,86
"2846","Bad",57,246,4,72,34,2,1,88,3,"1","3",40,4,73,2,3,3,12,70,3,12,0,89
"2847","Bad",69,110,6,53,24,0,0,96,35,"6","6",26,3,31,7,0,0,45,98,12,4,1,84
"2848","Good",66,129,4,53,18,0,0,100,83,"6","7",18,1,61,1,5,5,93,40,3,4,1,100
"2849","Bad",74,183,6,76,19,0,0,100,83,"7","8",19,2,26,0,0,0,44,15,4,2,2,75
"2850","Bad",64,79,4,41,16,0,0,100,83,"7","8",17,4,24,6,0,0,79,95,6,3,5,91
"2851","Bad",62,206,4,64,18,0,0,78,34,"6","6",18,3,67,0,4,4,73,57,4,1,1,100
"2852","Good",70,281,9,55,14,0,0,93,8,"4","6",15,2,57,14,0,0,58,45,2,3,1,71
"2853","Good",88,145,5,86,23,0,0,100,83,"7","8",24,1,54,0,1,1,6,96,2,2,0,50
"2854","Good",93,244,13,97,9,0,0,100,83,"7","8",10,0,33,3,1,1,0,99,1,2,0,75
"2855","Good",73,185,1,67,10,1,1,92,62,"6","6",18,2,67,10,0,0,15,70,1,3,0,80
"2856","Good",89,280,10,90,19,0,0,100,83,"7","8",20,1,16,-8,0,0,1,-8,2,1,0,33
"2857","Bad",78,50,15,32,5,0,0,100,83,"7","8",5,0,60,0,4,2,11,51,1,2,0,75
"2858","Bad",65,125,5,54,28,1,1,90,6,"4","4",31,2,58,0,0,0,51,62,4,5,1,75
"2859","Bad",72,221,11,84,22,3,2,81,46,"6","4",26,1,23,0,0,0,30,-8,5,1,0,70
"2860","Good",89,243,7,116,6,0,0,100,83,"7","8",6,2,17,0,0,0,17,-8,3,1,0,100
"2861","Good",77,195,5,87,40,0,0,100,83,"7","8",49,2,36,24,1,1,9,-8,5,2,0,78
"2862","Good",80,360,2,114,27,0,0,97,25,"6","6",29,2,62,0,1,1,10,100,3,2,2,63
"2863","Bad",71,94,4,54,13,1,0,56,26,"6","5",18,2,39,24,1,1,0,95,0,2,0,33
"2864","Good",85,293,6,94,40,0,0,100,83,"7","8",42,3,14,0,0,0,4,-8,4,-8,0,25
"2865","Good",55,312,3,72,24,3,1,78,1,"3","3",27,6,22,24,1,1,18,71,10,2,1,55
"2866","Bad",56,201,7,78,23,0,0,55,1,"4","6",31,4,29,24,4,4,68,-8,10,1,1,73
"2867","Bad",70,333,1,49,13,2,2,100,83,"6","8",20,2,36,24,3,3,8,96,1,3,0,50
"2868","Good",84,196,10,82,12,0,0,100,83,"7","8",25,1,17,0,2,2,29,54,5,2,0,64
"2869","Bad",69,226,2,29,1,0,0,100,83,"7","8",42,1,0,24,2,2,85,-8,2,-8,1,100
"2870","Good",75,130,1,61,20,0,0,100,83,"7","8",21,3,19,0,0,0,57,98,3,3,2,43
"2871","Bad",65,194,15,95,19,0,0,95,4,"4","6",20,0,50,0,4,4,51,-8,4,1,2,83
"2872","Bad",44,219,3,51,40,1,1,87,1,"4","4",45,4,58,0,2,2,75,85,5,5,2,63
"2873","Good",85,267,18,72,8,0,0,100,83,"7","8",8,0,25,17,0,0,17,62,2,1,0,75
"2874","Bad",55,116,3,53,12,3,1,75,64,"6","2",16,2,38,0,2,2,97,73,6,4,4,100
"2875","Bad",61,176,6,83,29,0,0,94,1,"4","6",31,2,35,0,0,0,67,22,9,3,3,86
"2876","Bad",76,257,18,100,4,0,0,100,83,"7","8",4,0,25,0,0,0,80,-8,3,1,1,100
"2877","Bad",56,202,17,104,17,2,1,68,2,"1","3",19,0,11,0,3,3,59,-8,6,1,3,58
"2878","Good",76,280,12,77,25,0,0,100,83,"7","8",25,0,40,0,0,0,17,42,2,4,1,50
"2879","Bad",68,72,5,38,21,0,0,95,20,"6","6",22,3,36,0,1,1,47,90,3,5,1,73
"2880","Bad",68,113,4,46,13,0,0,100,83,"7","8",14,3,50,6,0,0,54,-8,2,3,2,63
"2881","Bad",67,56,33,48,2,6,6,67,27,"0","3",3,0,33,-8,0,0,0,-8,0,-8,-8,0
"2882","Bad",62,120,34,74,4,0,0,40,4,"4","6",5,0,0,0,2,1,59,-8,1,-8,-8,25
"2883","Good",69,191,2,70,28,0,0,86,42,"6","6",29,2,21,13,0,0,41,87,10,2,1,67
"2884","Good",70,140,7,33,5,1,1,100,83,"6","8",3,3,0,1,1,1,4,-8,3,-8,0,60
"2885","Good",84,268,10,93,15,0,0,100,83,"7","8",15,1,33,0,1,1,1,50,2,2,0,71
"2886","Good",77,161,2,60,12,0,0,92,7,"4","6",13,3,46,5,0,0,6,99,2,3,0,63
"2887","Good",77,256,3,93,37,0,0,92,19,"6","6",39,4,23,3,1,1,13,-8,3,1,0,31
"2888","Good",86,423,25,149,14,0,0,93,83,"6","7",15,0,53,0,0,0,23,60,3,2,0,83
"2889","Good",77,261,18,100,32,1,1,100,83,"6","8",42,0,38,1,2,2,2,-8,3,-8,0,60
"2890","Good",74,186,7,71,38,0,0,100,83,"7","8",39,2,46,3,2,2,20,62,6,4,1,67
"2891","Bad",74,129,6,64,18,1,1,100,83,"6","8",18,1,33,3,4,4,6,-8,5,-8,0,56
"2892","Good",65,300,14,112,8,3,2,64,21,"6","2",11,0,45,-8,0,0,12,76,2,2,0,57
"2893","Bad",79,196,5,97,28,0,0,100,83,"7","8",29,2,48,0,0,0,40,-8,4,1,1,83
"2894","Good",81,311,27,118,15,0,0,93,65,"6","6",15,0,20,0,0,0,27,-8,8,1,0,82
"2895","Bad",71,194,3,115,14,2,1,94,4,"3","5",16,1,31,24,3,3,10,-8,1,-8,0,50
"2896","Bad",63,32,12,20,12,0,0,100,83,"7","8",12,0,50,13,0,0,71,60,5,4,2,100
"2897","Good",88,19,24,162,17,0,0,100,83,"7","8",5,0,18,-8,1,1,17,-8,4,1,0,45
"2898","Good",74,270,11,105,10,0,0,80,-8,"6","6",10,1,90,0,0,0,-8,-8,0,4,-8,80
"2899","Good",80,256,27,120,17,0,0,100,83,"7","8",17,0,6,0,3,2,34,-8,3,1,1,45
"2900","Good",89,223,17,92,22,0,0,100,83,"7","8",23,0,30,-8,0,0,12,-8,2,2,0,67
"2901","Good",87,128,3,61,5,0,0,100,83,"7","8",5,1,40,0,2,2,0,-8,0,1,0,33
"2902","Good",86,137,2,75,24,0,0,100,83,"7","8",25,2,36,0,3,3,7,73,2,2,0,50
"2903","Bad",89,273,8,149,17,0,0,100,83,"6","7",69,1,24,-8,0,0,2,-8,4,-8,0,57
"2904","Good",66,164,19,108,9,1,0,70,9,"4","5",10,0,80,24,0,0,0,121,0,4,-8,80
"2905","Bad",59,155,7,47,40,0,0,90,2,"4","6",42,3,67,24,3,3,58,68,6,11,1,94
"2906","Good",80,291,13,155,31,0,0,100,83,"7","8",31,0,6,0,1,1,21,80,7,1,1,42
"2907","Bad",57,86,20,48,8,3,1,31,13,"6","5",14,0,92,0,3,3,0,59,0,4,-8,80
"2908","Bad",65,163,1,71,22,0,0,100,83,"7","8",24,1,13,0,0,0,86,14,12,2,8,88
"2909","Bad",62,-8,8,32,5,1,0,83,11,"3","5",0,2,50,1,3,3,37,75,3,1,1,100
"2910","Good",71,176,14,79,29,0,0,97,11,"6","6",33,0,14,0,2,2,15,-8,3,1,2,40
"2911","Good",90,245,2,98,7,0,0,100,83,"7","8",8,1,63,21,0,0,11,79,2,2,0,80
"2912","Good",88,146,16,56,10,0,0,100,83,"7","8",13,0,10,17,0,0,16,-8,1,-8,0,17
"2913","Bad",64,175,4,63,27,0,0,100,83,"7","8",27,5,30,0,0,0,63,86,10,3,4,81
"2914","Bad",58,113,6,57,21,0,0,71,6,"4","6",21,4,52,0,0,0,84,67,7,2,1,90
"2915","Good",73,200,2,74,70,0,0,99,39,"6","6",71,4,66,1,8,8,9,94,4,9,0,82
"2916","Good",79,457,7,106,14,0,0,100,83,"7","8",14,1,7,0,0,0,30,86,12,1,1,100
"2917","Bad",62,185,9,52,14,1,0,76,3,"4","5",17,1,65,0,5,5,26,70,3,4,1,100
"2918","Bad",81,76,10,49,12,0,0,100,83,"7","8",12,1,17,-8,0,0,27,-8,2,1,0,44
"2919","Good",69,127,1,57,16,0,0,94,9,"4","6",18,2,28,0,3,2,28,100,3,3,0,60
"2920","Bad",56,237,6,108,16,0,0,69,1,"4","6",17,1,13,24,1,1,93,-8,4,1,3,83
"2921","Bad",69,215,15,89,24,0,0,96,4,"4","6",24,0,33,0,3,3,42,-8,2,1,1,38
"2922","Bad",77,159,1,61,27,0,0,100,83,"7","8",31,6,6,0,8,8,10,-8,7,1,0,42
"2923","Good",72,140,3,80,27,0,0,96,66,"6","6",27,3,44,24,0,0,22,39,5,4,1,75
"2924","Good",85,128,2,62,17,0,0,100,83,"7","8",19,3,61,24,5,5,2,93,1,2,0,75
"2925","Good",84,373,16,107,32,0,0,100,83,"7","8",32,0,38,0,1,1,14,30,7,5,0,67
"2926","Good",86,361,1,86,25,0,0,100,83,"7","8",26,1,31,-8,0,0,10,-8,3,3,0,67
"2927","Bad",59,58,18,28,5,1,1,67,9,"0","2",6,0,67,0,0,0,99,-8,1,1,1,100
"2928","Good",81,161,2,93,22,1,0,96,73,"6","5",24,2,50,5,0,0,3,-8,2,2,1,50
"2929","Bad",69,163,7,69,28,0,0,100,83,"7","8",29,3,41,1,3,3,52,79,8,3,2,75
"2930","Bad",60,49,5,23,16,0,0,100,83,"7","8",16,3,31,0,1,1,40,82,6,3,0,90
"2931","Good",87,306,49,122,14,0,0,100,83,"7","8",14,0,36,13,0,0,3,-8,2,-8,0,67
"2932","Bad",66,252,5,72,32,0,0,97,51,"6","6",9,3,59,5,1,0,78,72,6,3,1,91
"2933","Bad",63,71,12,41,18,0,0,100,83,"7","8",18,0,22,0,1,1,92,25,11,2,6,100
"2934","Bad",68,166,4,47,17,0,0,100,83,"7","8",18,2,11,0,0,0,78,-8,8,1,4,75
"2935","Bad",69,74,72,73,2,1,1,100,83,"6","8",2,0,100,0,0,0,-8,4,-8,1,-8,100
"2936","Bad",68,225,4,94,20,1,0,86,6,"6","5",21,1,57,0,9,9,35,65,4,4,1,73
"2937","Bad",91,215,31,104,15,0,0,100,83,"7","8",16,0,38,-8,0,0,0,-8,0,1,-8,25
"2938","Bad",63,278,19,89,37,0,0,95,3,"4","6",38,0,24,0,3,3,30,-8,11,1,3,86
"2939","Good",92,233,25,152,35,0,0,100,83,"7","8",36,0,11,-8,0,0,0,-8,2,1,0,38
"2940","Bad",74,61,2,22,7,0,0,100,83,"7","8",8,4,50,0,1,1,38,96,2,1,0,100
"2941","Bad",69,160,5,109,11,1,1,92,20,"6","3",13,1,31,24,0,0,94,-8,3,2,3,100
"2942","Bad",59,150,3,50,27,0,0,89,21,"6","6",28,3,21,0,1,1,54,70,8,4,2,63
"2943","Good",55,418,5,112,25,0,0,84,11,"4","6",34,2,28,4,2,2,66,96,4,2,3,64
"2944","Bad",75,235,13,139,26,1,1,100,83,"6","8",44,0,35,24,0,0,13,-8,2,1,0,57
"2945","Bad",63,229,1,111,42,2,0,87,10,"4","5",48,2,30,24,2,2,42,37,9,2,5,50
"2946","Good",89,218,4,87,24,0,0,100,83,"7","8",10,2,35,22,0,0,9,-8,1,1,0,20
"2947","Good",66,173,8,58,17,2,1,85,2,"0","2",20,4,45,0,0,0,7,68,3,2,0,75
"2948","Bad",57,236,20,97,13,4,3,69,37,"0","2",16,0,38,19,0,0,101,-8,3,1,2,100
"2949","Bad",75,152,1,66,21,0,0,100,83,"7","8",22,3,36,0,1,1,32,96,5,3,2,62
"2950","Good",88,205,15,83,14,0,0,100,83,"7","8",14,0,36,14,0,0,1,60,1,2,0,50
"2951","Bad",60,201,2,75,25,1,0,93,3,"3","5",28,3,32,24,5,5,59,64,6,4,3,71
"2952","Good",72,179,2,57,30,0,0,100,83,"7","8",31,2,42,2,1,1,50,91,7,4,3,73
"2953","Good",86,225,4,79,14,0,0,100,83,"7","8",14,1,14,7,0,0,15,-8,2,-8,0,29
"2954","Bad",74,131,8,46,21,0,0,96,47,"6","6",24,3,54,1,1,1,30,106,1,9,-8,100
"2955","Bad",71,183,15,73,11,1,0,85,50,"6","2",13,0,46,0,1,1,49,50,2,2,0,67
"2956","Good",85,371,1,141,24,0,0,100,83,"7","8",25,2,28,-8,0,0,14,56,5,2,1,70
"2957","Bad",67,223,4,88,26,0,0,100,83,"7","8",26,2,38,0,1,1,77,70,6,7,2,88
"2958","Good",60,83,9,49,31,1,1,97,16,"0","6",32,1,16,0,4,4,68,40,14,2,3,76
"2959","Bad",66,160,7,50,16,1,1,89,24,"6","3",18,1,44,1,4,4,62,-8,6,-8,1,100
"2960","Bad",55,306,4,100,28,4,4,93,38,"0","6",29,2,25,0,1,1,60,77,11,3,8,70
"2961","Good",73,223,23,99,22,0,0,91,9,"4","6",23,0,35,4,1,1,6,65,6,2,0,80
"2962","Good",84,132,5,50,22,0,0,100,83,"7","8",22,2,36,6,0,0,19,17,2,4,0,86
"2963","Bad",63,262,18,80,23,0,0,83,1,"4","6",23,0,4,24,0,0,15,-8,9,1,2,83
"2964","Good",61,117,1,59,19,4,1,83,38,"6","5",25,3,46,24,1,1,76,61,7,2,5,90
"2965","Good",74,77,1,35,15,0,0,100,83,"7","8",16,4,50,24,0,0,47,72,4,3,1,88
"2966","Good",66,196,4,76,41,0,0,100,83,"7","8",43,3,17,3,1,1,37,98,9,3,4,55
